ingredient,safety_level,note,source
enriched unbleached flour wheat flour,unknown,Not found on EWG,
malted barley flour,unknown,Not found on EWG,
ascorbic acid {dough conditioner,unknown,Not found on EWG,
niacin,unknown,H319 (99.8%): Causes serious eye irritation [Warning Serious eye damage/eye irritation],
reduced iron,unknown,H228 (15.5%): Flammable solid [Danger Flammable solids]; H251 (21.2%): Self-heating; may catch fire [Danger Self-heating substances and mixtures],
thiamin mononitrate,unknown,"Not Classified; Reported as not meeting GHS hazard criteria by 67 of 67 companies. For more detailed information, please visit  ECHA C&L website.",
soybean oll,unknown,Not found on EWG,
honey powder,unknown,Not found on EWG,
natural flavor. contains: wheat. may contain milk,unknown,Not found on EWG,
eggs,unknown,Not found on EWG,
soy and tree nuts.  —fiboflavin,unknown,Not found on EWG,
folic acid,unknown,"Not Classified; Reported as not meeting GHS hazard criteria by 188 of 203 companies (only 7.4% companies provided GHS information). For more detailed information, please visit  ECHA C&L website.",
sugar,unknown,"Not Classified; Reported as not meeting GHS hazard criteria by 423 of 442 companies (only 4.3% companies provided GHS information). For more detailed information, please visit  ECHA C&L website.",
degermed yellow cornmeal,unknown,Not found on EWG,
salt,unknown,H319 (10.8%): Causes serious eye irritation [Warning Serious eye damage/eye irritation],
evening akin soda,unknown,Not found on EWG,
sodium acid —pyrophos hale,unknown,Not found on EWG,
enriched unbleached flour wheat flour,unknown,Not found on EWG,cached
malted barley flour,unknown,Not found on EWG,cached
ascorbic acid {dough conditioner,unknown,Not found on EWG,cached
thiamin mononitrate,unknown,"Not Classified; Reported as not meeting GHS hazard criteria by 67 of 67 companies. For more detailed information, please visit  ECHA C&L website.",cached
soybean oll,unknown,Not found on EWG,cached
honey powder,unknown,Not found on EWG,cached
natural flavor. contains: wheat. may contain milk,unknown,Not found on EWG,cached
soy and tree nuts.  —fiboflavin,unknown,Not found on EWG,cached
degermed yellow cornmeal,unknown,Not found on EWG,cached
evening akin soda,unknown,Not found on EWG,cached
sodium acid —pyrophos hale,unknown,Not found on EWG,cached
simplified display,unknown,Not found on EWG,EWG
